Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
USA,98 727 136,1 089 385 ,95 924 535,1 713 216,,,1 122 981 123,335 130 632 
India,44 621 319,528 847 ,44 065 963,26 509,,,897 355 355,1 410 866 119 
France,36 038 327,155 675 ,34 894 458,988 194,,,271 490 188,65 601 920 
Brazil,34 777 993,687 076 ,33 937 059,153 858,,,63 776 166,215 995 925 
Germany,34 403 129,151 095 ,32 809 700,1 442 334,,,122 332 384,84 393 119 
S. Korea,25 052 677,28 748 ,24 591 405,432 524,+26 928,+25,15 804 065,51 369 500 
UK,23 735 273,190 888 ,23 403 656,140 729,,,522 526 476,68 696 991 
Italy,22 990 201,177 785 ,22 273 393,539 023,+45 705,+66,249 464 295,60 259 730 
Japan,21 656 190,45 693  ,20 439 217,1 171 280,+45 690,+78,76 201 407,125 596 454 
Russia,21 264 080,388 610 ,20 531 754,343 716,+15 477,+101,273 400 000,146 076 725 
Turkey,16 919 638,101 203 ,16 795 319,23 116,,,162 743 369,86 403 459 
Spain,13 441 941,114 468 ,13 242 579,84 894,,,471 036 328,46 795 949 
Vietnam,11 490 951,43 155 ,10 597 953,849 843,+1 069,,85 826 548,99 330 684 
Australia,10 281 387,15 399 ,10 216 900,49 088,+1 237,+10,78 835 048,26 172 923 
Argentina,9 713 594,129 958 ,9 575 260,8 376,,,35 716 069,46 139 110 
Netherlands,8 465 022,22 702 ,8 377 074,65 246,,,21 107 399,17 221 077 
Iran,7 553 454,144 506 ,7 328 557,80 391,+285,+4,54 095 556,86 438 622 
Mexico,7 099 723,330 250 ,6 371 918,397 555,+1 198,+17,18 492 768,132 014 131 
Taiwan,7 050 750,11 686 ,6 161 112,877 952,+53 421,+29,26 882 575,23 914 787 
Indonesia,6 452 078,158 263 ,6 276 589,17 226,+1 830,+14,109 466 219,280 102 878 
Poland,6 323 108,117 847 ,5 335 940,869 321,+1 910,+24,37 501 636,37 752 384 
Colombia,6 308 087,141 807 ,6 135 815,30 465,,,36 615 681,52 116 572 
Portugal,5 506 988,25 114 ,5 424 711,57 163,,,45 059 939,10 129 133 
Austria,5 306 372,20 895 ,5 146 953,138 524,+13 599,,198 874 675,9 123 267 
Ukraine,5 177 217,109 206 ,5 036 484,31 527,,,19 521 252,43 136 725 
Greece,5 026 494,33 313 ,4 926 074,67 107,,,95 536 498,10 307 354 
Malaysia,4 859 136,36 407 ,4 800 584,22 145,,,64 858 973,33 309 366 
DPRK,4 772 813,74 ,4 772 739,0,,,,26 035 725 
Thailand,4 685 047,32 829 ,4 647 275,4 943,,,17 270 775,70 198 224 
Israel,4 671 343,11 712 ,4 654 277,5 354,+726,,41 373 364,9 326 000 
Chile,4 664 095,61 355 ,4 589 195,13 545,+4 894,+5,45 542 484,19 489 434 
